s,a,r,sp
1603,1,-2,1736
1736,2,-2,1834
1834,2,-2,0
1467,0,0,1434
1434,0,0,1401
1401,2,-2,1334
1334,1,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,0,0,1170
1170,1,-2,1171
1171,0,0,1171
1335,1,-2,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,2,-2,1202
1202,0,0,1136
1136,0,0,1070
1070,0,0,1004
1004,2,-2,904
904,2,-2,771
771,2,-2,605
605,2,-2,406
406,0,0,0
1267,1,-2,1202
1202,0,0,1136
1136,1,-2,1104
1104,0,0,1071
1071,0,0,1038
1038,1,-2,1039
1039,0,0,0
1630,2,-2,1497
1497,0,0,1365
1365,2,-2,1199
1199,0,0,1034
1034,2,-2,835
835,0,0,637
637,0,0,439
439,0,0,241
241,0,0,0
1302,0,0,1269
1269,2,-2,1202
1202,2,-2,1102
1102,0,0,1003
1003,0,0,904
904,2,-2,771
771,0,0,639
639,2,-2,473
473,0,0,0
970,0,0,871
871,2,-2,738
738,1,-2,640
640,0,0,0
1503,1,-2,1603
1603,0,0,1702
1702,0,0,1801
1801,0,0,1900
1900,0,0,1999
1999,0,0,2098
2098,1,-2,2231
2231,1,-2,0
1338,1,-2,1438
1438,2,-2,1503
1503,0,0,1569
1569,2,-2,1601
1601,0,0,1634
1634,0,0,1667
1667,2,-2,1666
1666,0,0,1666
1666,2,-2,1632
1632,0,0,0
1430,1,-2,1299
1299,0,0,1167
1167,0,0,1035
1035,0,0,903
903,2,-2,0
1237,1,-2,1271
1271,1,-2,1338
1338,2,-2,1370
1370,2,-2,1369
1369,2,-2,1335
1335,1,-2,1336
1336,0,0,1336
1336,0,0,1336
1336,2,-2,1302
1302,0,0,1269
1269,0,0,1236
1236,0,0,1203
1203,0,0,1170
1170,1,-2,1171
1171,2,-2,1137
1169,2,-2,1069
1069,0,0,970
970,0,0,871
871,0,0,772
772,1,-2,707
707,0,0,641
641,1,-2,609
609,1,-2,0
740,0,0,674
674,0,0,0
1534,1,-2,1568
1568,0,0,1601
1601,1,-2,1668
1668,1,-2,1768
1768,0,0,1867
1867,0,0,1966
1966,1,-2,2099
2099,2,-2,0
1136,0,0,1070
1070,1,-2,1038
1038,0,0,1005
1005,0,0,972
972,2,-2,905
905,2,-2,805
805,0,0,706
706,0,0,0
1235,0,0,1169
1169,1,-2,1137
1137,2,-2,1070
1070,1,-2,1038
1038,1,-2,1039
1039,1,-2,1073
1073,0,0,1106
1106,0,0,1139
1139,0,0,0
1499,0,0,1433
1433,1,-2,1401
1401,0,0,1368
1368,1,-2,1369
1369,0,0,1369
1369,2,-2,1335
1335,2,-2,1268
1268,1,-2,1236
